Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
parallel shaft helical geard motor,2,0,2,9,1,2,100.0%,0.0%,motor - motor_type | product_type,Parallel Shaft - number_of_poles | no_of_poles | poles |||| Helical - type | motor_type | product_type |||| Parallel Shaft - usage_application | application | usage,motor type | product type,,,application | no of poles | number of poles | poles | type | usage | usage application
parker hydraulic motor,5,1,5,8,2,2,100.0%,50.0%,parker - brand | manufacturer | company |||| motor - motor_type | product_type,Parker - brand | company | manufacturer | make |||| Hydraulic Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,parker,,device type | make | type
partition frames for motor,0,1,2,8,1,2,0.0%,100.0%,motor - motor_type | product_type,Motor - usage_application | application | suitable_for | usage |||| Partition Frames - material | body_material | material_type | casing_material,,motor,motor type | product type,application | body material | casing material | material | material type | suitable for | usage | usage application
pbl-right-angled-helical-bevel-geared-motor,5,1,5,8,2,2,100.0%,50.0%,pbl - brand | manufacturer | company |||| gear motor - motor_type | product_type,PBL - brand | company | manufacturer | make |||| Right-Angled Helical-Bevel Geared Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,pbl,,device type | make | type
peco pk1 3 phase dol motor starter,1,0,6,17,3,5,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,Peco - brand | company | manufacturer | make |||| PK1 - model_number | model_name | model | model_no |||| 3 Phase - number_of_phase | phase | number_of_phase | input_phase |||| DOL - starter_type | starting_method | starter |||| F - insulation_class | insulation_type | winding_insulation,phase,,application | motor type | product type | supply phase | use,brand | company | input phase | insulation class | insulation type | make | manufacturer | model | model name | model no | model number | number of phase | starter | starter type | starting method | winding insulation
pmdc gear motor 0-25-hp 25-200rpm 12-180volt,0,0,7,0,3,0,0.0%,0.0%,gear motor - motor_type | product_type |||| 180v - voltage | supply_voltage |||| 200 rpm - speed | rpm | rated_speed,,,,motor type | product type | rated speed | rpm | speed | supply voltage | voltage,
polisher-motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Polisher-Motor - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
power tool cm4,0,1,2,6,1,2,0.0%,100.0%,power tool - product_category | category,Power Tool - power_source | power_supply | power_type |||| CM4 - model_number | model_name | model,,power tool,category | product category,model | model name | model number | power source | power supply | power type
power tool near delhi cm4,0,1,2,11,1,3,0.0%,100.0%,power tool - product_category | category,CM4 - model_number | model_name | model | model_no |||| Near Delhi - location | area | location_type |||| Power Tool - usage_application | application | usage | suitable_for,,power tool,category | product category,application | area | location | location type | model | model name | model no | model number | suitable for | usage | usage application
power-tool-carbon-brush,0,0,4,7,2,2,0.0%,0.0%,automotive - application | use |||| brush - product_category | category,Power-Tool - power_source | power_supply | power_type |||| Carbon - material | body_material | material_type | casing_material,,,application | category | product category | use,body material | casing material | material | material type | power source | power supply | power type
pump-starter,0,0,4,4,2,1,0.0%,0.0%,pump - application | use |||| starter - application | use |||| starter - product_category | category,Pump-Starter - starter_type | starting_method | starter | type_of_starter,,,application | category | product category | use,starter | starter type | starting method | type of starter
push button shutter motor,0,0,2,7,1,2,0.0%,0.0%,motor - motor_type | product_type,Push Button - power_source | power_supply | power_type |||| Shutter Motor - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
reverse forward 3 phase 20 3 hp starters,1,0,7,12,3,3,14.3%,0.0%,3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use,3 Phase - phase | phase_type | number_of_phase | input_phase |||| 20 3 HP - capacity | load_capacity | weight_capacity | lifting_capacity |||| Reverse Forward - speed | rpm | motor_speed | rated_speed,phase,,application | horsepower | hp | power | supply phase | use,capacity | input phase | lifting capacity | load capacity | motor speed | number of phase | phase type | rated speed | rpm | speed | weight capacity
rexroth servo drive,0,0,2,8,1,2,0.0%,0.0%,drive - product_category | category,REXROTH - brand | company | manufacturer | make |||| Servo Drive - type | motor_type | product_type | device_type,,,category | product category,brand | company | device type | make | manufacturer | motor type | product type | type
rotex positioner,0,0,4,4,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,ROTEX - brand | company | manufacturer | make,,,application | category | product category | use,brand | company | make | manufacturer
rs 555 high speed dc motor 5000rpm,3,0,7,8,3,2,42.9%,0.0%,dc motor - motor_type | product_type |||| 5000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,5000rpm - speed | rpm | motor_speed | rated_speed |||| RS 555 - model_number | model_name | model | model_no,rated speed | rpm | speed,,current type | motor type | product type | supply type,model | model name | model no | model number | motor speed
schneider soft starter,4,0,7,8,2,2,57.1%,0.0%,schneider electric - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,Schneider - brand | company | manufacturer | make |||| Soft Starter - type | product_type | device_type | product_category,brand | company | manufacturer | product category,,application | category | use,device type | make | product type | type
schubert and salzer positioner,0,0,4,4,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Schubert and Salzer - brand | company | manufacturer | make,,,application | category | product category | use,brand | company | make | manufacturer
screed vibrator motor,0,0,2,15,1,1,0.0%,0.0%,vibrator motor - motor_type | product_type,screed vibrator motor - power_source | power_supply | power_type | power |||| screed vibrator motor - number_of_poles | no_of_poles | poles |||| screed vibrator motor - usage_application | application | usage | suitable_for |||| screed vibrator motor - brand | company | manufacturer | make,,,motor type | product type,application | brand | company | make | manufacturer | no of poles | number of poles | poles | power | power source | power supply | power type | suitable for | usage | usage application
seedprod latest version,0,0,0,8,0,2,N/A,N/A,,SeedProd - brand | model_number | company | model_name | manufacturer | model | make | model_no,,,,brand | company | make | manufacturer | model | model name | model no | model number
sensor plate,0,1,2,6,2,2,0.0%,50.0%,sensor - product_category | category |||| motor plate - product_category | category,Plate - type | device_type | product_type |||| Sensor - material | body_material | material_type,,sensor,category | product category,body material | device type | material | material type | product type | type
servo motor .,2,1,2,4,1,1,100.0%,100.0%,servo motor - motor_type | product_type,Servo Motor - type | motor_type | product_type | device_type,motor type | product type,servo motor,,device type | type
servo motors repairs,2,0,2,8,1,2,100.0%,0.0%,servo motor - motor_type | product_type,Servo Motors - type | motor_type | product_type | device_type |||| Repairs - usage_application | application | usage | suitable_for,motor type | product type,,,application | device type | suitable for | type | usage | usage application
sewing-machine-motor-armature,0,0,5,5,2,1,0.0%,0.0%,sew - brand | manufacturer | company |||| motor - motor_type | product_type,Sewing-Machine-Motor-Armature - model_number | model_name | model | model_no |||| Sewing-Machine-Motor-Armature - model_type | model_no | model_name | model_number,,,brand | company | manufacturer | motor type | product type,model | model name | model no | model number | model type
shaded pole motors with fan,3,1,4,8,2,2,75.0%,50.0%,shaded pole motor - motor_type | product_type |||| fan - application | use,Shaded Pole Motors - type | motor_type | product_type | device_type |||| Fan - usage_application | application | usage | suitable_for,application | motor type | product type,fan,use,device type | suitable for | type | usage | usage application
